,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Vaini,TO,-21.2,-175.2,84.2,84,75,9.22,broken clouds
1,Butaritari,KI,3.0707,172.7902,81.23,79,71,20.2,broken clouds
2,Klaeng,TH,12.7797,101.6483,75.99,89,2,2.35,clear sky
3,Narsaq,GL,60.9167,-46.05,23.16,81,100,3.65,overcast clouds
4,Aklavik,CA,68.2191,-135.0107,-7.6,71,90,11.5,overcast clouds
5,Ada,US,43.4166,-116.1262,51.8,34,90,8.05,overcast clouds
6,Crestline,US,34.242,-117.2856,73.4,17,1,6.91,clear sky
7,Bogo,PH,11.0517,124.0055,81.73,77,99,12.55,overcast clouds
8,Nikolayevsk-Na-Amure,RU,53.1406,140.73,-3.3,88,100,6.38,overcast clouds
9,Chuy,UY,-33.6971,-53.4616,67.05,88,0,9.71,clear sky
10,Rikitea,PF,-23.1203,-134.9692,78.78,68,45,9.57,scattered clouds
11,Hithadhoo,MV,-0.6,73.0833,81.36,75,41,13.96,scattered clouds
12,Barrow,US,71.2906,-156.7887,-5.8,77,90,14.97,haze
13,Samarai,PG,-10.6167,150.6667,86.5,67,63,4.45,broken clouds
14,Clyde River,CA,70.4692,-68.5914,-7.6,77,90,2.3,overcast clouds
15,Ushuaia,AR,-54.8,-68.3,50.0,76,75,12.66,broken clouds
16,Souillac,MU,-20.5167,57.5167,77.0,83,40,4.61,scattered clouds
17,Norman Wells,CA,65.282,-126.8329,-25.6,68,75,2.3,broken clouds
18,Fairbanks,US,64.8378,-147.7164,-4.0,77,90,0.87,light snow
19,Buk,PL,52.3553,16.5196,21.0,63,0,16.11,clear sky
20,Mataura,NZ,-46.1927,168.8643,80.42,46,0,1.88,clear sky
21,Kamaishi,JP,39.2667,141.8833,35.6,100,75,1.14,mist
22,Casablanca,MA,33.5928,-7.6192,51.01,100,75,11.5,broken clouds
23,Tateyama,JP,34.9833,139.8667,55.99,62,20,6.91,few clouds
24,Kilindoni,TZ,-7.9139,39.6668,81.36,79,90,11.32,overcast clouds
25,Georgetown,MY,5.4112,100.3354,78.8,83,20,2.3,few clouds
26,Asau,RO,46.4333,26.4,27.0,72,100,3.47,light snow
27,Catuday,PH,16.2923,119.8062,79.86,74,100,9.31,overcast clouds
28,Port Elizabeth,ZA,-33.918,25.5701,69.8,78,0,19.57,clear sky
29,Yellowknife,CA,62.456,-114.3525,-36.4,67,1,2.3,mist
30,Shibetsu,JP,43.659,145.132,23.0,86,75,8.05,snow
31,Zelenets,RU,61.8849,50.7489,-5.8,71,90,15.66,light snow
32,Victoria,HK,22.2855,114.1577,71.01,62,0,9.26,clear sky
33,Sao Filipe,CV,14.8961,-24.4956,69.4,75,18,15.79,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,72.79,82,100,6.71,overcast clouds
35,Marzuq,YE,14.4,46.4667,56.75,69,0,2.17,clear sky
36,Dikson,RU,73.5069,80.5464,-28.1,86,90,9.6,overcast clouds
37,Tasiilaq,GL,65.6145,-37.6368,33.8,55,92,28.77,overcast clouds
38,Freeport,US,40.6576,-73.5832,39.2,48,1,5.75,clear sky
39,Bethel,US,41.3712,-73.414,32.0,59,1,5.14,clear sky
40,Broome,US,42.2506,-75.833,24.8,33,1,3.44,clear sky
41,La Rioja,ES,42.25,-2.5,39.2,87,20,3.44,few clouds
42,Benguela,AO,-12.5763,13.4055,72.54,84,100,3.29,overcast clouds
43,Albany,US,42.6001,-73.9662,27.0,45,0,3.76,clear sky
44,Teya,RU,60.3778,92.6267,22.33,95,98,7.85,overcast clouds
45,Banjar,ID,-8.19,114.9675,82.4,83,20,3.44,few clouds
46,Barcelos,PT,41.5388,-8.6151,42.01,87,0,4.61,clear sky
47,Busselton,AU,-33.65,115.3333,61.0,97,100,1.99,overcast clouds
48,Qaqortoq,GL,60.7167,-46.0333,21.25,82,90,6.24,overcast clouds
49,Kismayo,SO,-0.3582,42.5454,75.72,86,0,12.64,clear sky
50,Hilo,US,19.7297,-155.09,78.8,53,75,5.75,broken clouds
51,Jamestown,US,42.097,-79.2353,17.6,49,1,6.91,clear sky
52,Kirkwall,GB,58.9848,-2.9587,32.0,93,75,20.71,light snow
53,Rawson,AR,-43.3002,-65.1023,58.5,69,6,21.63,clear sky
54,Edgewood,US,39.4187,-76.2944,39.0,64,1,4.07,clear sky
55,Fortuna,US,40.5982,-124.1573,51.01,87,1,12.66,clear sky
56,Verbilki,RU,56.5333,37.6,-0.4,78,40,11.18,light snow
57,Mar Del Plata,AR,-38.0023,-57.5575,64.0,77,20,11.5,few clouds
58,Oeiras,BR,-7.0253,-42.1311,75.92,78,97,3.58,overcast clouds
59,Hualmay,PE,-11.0964,-77.6139,71.01,78,100,8.28,overcast clouds
60,Carnarvon,AU,-24.8667,113.6333,84.2,100,40,13.8,scattered clouds
61,Punta Arenas,CL,-53.15,-70.9167,51.8,66,0,17.27,clear sky
62,Isangel,VU,-19.55,169.2667,86.0,79,20,5.75,few clouds
63,Bambous Virieux,MU,-20.3428,57.7575,77.0,83,40,4.61,light rain
64,Bandarbeyla,SO,9.4942,50.8122,74.86,81,0,11.45,clear sky
65,Hermanus,ZA,-34.4187,19.2345,66.99,93,93,3.44,light rain
66,Upernavik,GL,72.7868,-56.1549,18.59,75,0,3.47,clear sky
67,Ixtapa,MX,20.7,-105.2,72.0,78,40,5.75,scattered clouds
68,Luderitz,NA,-26.6481,15.1594,68.13,66,0,21.56,clear sky
69,Kapaa,US,22.0752,-159.319,73.4,49,40,6.91,scattered clouds
70,Zaysan,KZ,47.4667,84.8667,19.44,86,97,1.61,overcast clouds
71,Pevek,RU,69.7008,170.3133,-7.38,87,0,5.06,clear sky
72,Bluff,NZ,-46.6,168.3333,61.23,70,0,7.07,clear sky
73,Torbay,CA,47.6666,-52.7314,44.01,93,40,20.71,light rain
74,Saskylakh,RU,71.9167,114.0833,-41.19,78,24,7.43,few clouds
75,Ponta Do Sol,PT,32.6667,-17.1,54.0,68,12,5.79,few clouds
76,Castro,BR,-24.7911,-50.0119,60.3,96,8,9.78,clear sky
77,Skibbereen,IE,51.55,-9.2667,37.4,87,20,8.05,few clouds
78,Telde,ES,27.9924,-15.4192,62.01,82,75,11.5,broken clouds
79,Namibe,AO,-15.1961,12.1522,70.54,79,34,5.73,scattered clouds
80,Nanortalik,GL,60.1432,-45.2371,24.17,87,100,9.69,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,78.8,73,75,6.91,broken clouds
82,Civita Castellana,IT,42.2952,12.4092,69.8,60,100,8.05,overcast clouds
83,Qrendi,MT,35.8347,14.4583,61.0,88,0,8.05,clear sky
84,Kitui,KE,-1.367,38.0106,66.85,77,78,2.71,broken clouds
85,Boa Vista,BR,2.8197,-60.6733,82.4,65,0,8.05,clear sky
86,Cape Town,ZA,-33.9258,18.4232,70.0,88,20,9.22,few clouds
87,Faya,SA,18.3851,42.4509,46.4,87,40,1.88,scattered clouds
88,Stokmarknes,NO,68.5646,14.9108,30.99,92,66,1.01,broken clouds
89,Shido,JP,34.3233,134.1733,54.0,66,40,6.91,scattered clouds
90,Kamina,CD,-8.7386,24.9906,65.57,96,100,4.29,overcast clouds
91,Sarangani,PH,5.4033,125.4636,81.59,72,100,4.16,overcast clouds
92,Avarua,CK,-21.2078,-159.775,86.0,70,35,11.5,scattered clouds
93,Zaraza,VE,9.3503,-65.3245,75.76,75,100,8.93,overcast clouds
94,Luanda,AO,-8.8368,13.2343,78.8,83,40,9.22,scattered clouds
95,Vanimo,PG,-2.6741,141.3028,82.29,78,100,4.27,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,79.27,71,99,4.23,overcast clouds
97,Orodara,BF,10.9492,-4.9342,75.2,41,97,4.61,overcast clouds
98,Vestmannaeyjar,IS,63.4427,-20.2734,38.52,74,26,26.82,scattered clouds
99,Ribeira Grande,PT,38.5167,-28.7,61.14,88,100,23.58,overcast clouds
100,Meulaboh,ID,4.1363,96.1285,76.89,88,82,5.66,broken clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,77.0,93,52,1.01,broken clouds
102,Tiksi,RU,71.6872,128.8694,-26.0,84,100,4.85,overcast clouds
103,Dingle,PH,10.9995,122.6711,80.51,82,71,13.96,broken clouds
104,Bagdarin,RU,54.4333,113.6,-13.25,80,0,2.28,clear sky
105,Qaanaaq,GL,77.484,-69.3632,10.04,86,100,8.48,overcast clouds
106,Margate,GB,51.3813,1.3862,36.0,85,100,5.99,light rain
107,Gornopravdinsk,RU,60.05,69.9,33.96,92,100,10.49,overcast clouds
108,Provideniya,RU,64.3833,-173.3,1.76,88,5,4.85,clear sky
109,Ostrovnoy,RU,68.0531,39.5131,8.11,92,100,10.74,overcast clouds
110,Eureka,US,40.8021,-124.1637,52.0,79,0,8.99,clear sky
111,Gavle,SE,60.6745,17.1417,21.0,86,100,5.01,snow
112,Murray Bridge,AU,-35.1167,139.2667,62.01,88,99,12.35,overcast clouds
113,Anzhero-Sudzhensk,RU,56.081,86.0285,30.2,86,40,13.42,scattered clouds
114,Bambanglipuro,ID,-7.95,110.2833,80.85,77,4,4.99,clear sky
115,San Carlos De Bariloche,AR,-41.1456,-71.3082,75.2,29,0,11.5,clear sky
116,Namatanai,PG,-3.6667,152.4333,86.18,62,99,5.37,overcast clouds
117,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,90,21.85,snow
118,Castlemaine,AU,-37.0667,144.2167,66.0,82,63,3.0,broken clouds
119,Saint Austell,GB,50.3383,-4.7658,39.0,93,66,8.05,broken clouds
120,Terrace,CA,54.5163,-128.6035,32.0,93,90,8.05,light snow
121,Koungou,YT,-12.7336,45.2042,80.6,78,0,9.22,clear sky
122,Marawi,PH,7.9986,124.2928,81.0,78,49,2.64,scattered clouds
123,Port Alfred,ZA,-33.5906,26.891,68.0,87,39,5.99,scattered clouds
124,Pisco,PE,-13.7,-76.2167,71.6,83,75,9.22,broken clouds
125,Rojhan,PK,28.6868,69.9534,52.21,43,0,2.82,clear sky
126,Saint-Augustin,CA,51.226,-58.6502,33.51,96,100,17.87,overcast clouds
127,Khatanga,RU,71.9667,102.5,-34.94,78,0,8.61,clear sky
128,Saurimo,AO,-9.6608,20.3916,66.07,97,100,3.8,overcast clouds
129,Montrose,US,38.4166,-108.2673,42.8,28,75,8.05,broken clouds
130,Skjervoy,NO,70.0311,20.9714,29.93,94,100,20.98,light snow
