City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Arraial Do Cabo,BR,2021-02-06 19:10:24,-22.9661,-42.0278,297.15,94,90,6.69
1,Marsh Harbour,BS,2021-02-06 19:10:24,26.5412,-77.0636,298.11,76,0,8.05
2,Biak,ID,2021-02-06 19:10:24,-0.9131,122.8766,297.97,76,100,1.22
3,Ushuaia,AR,2021-02-06 19:09:24,-54.8,-68.3,286.15,67,20,9.77
4,Hare Bay,CA,2021-02-06 19:10:24,48.8499,-54.0148,273.15,93,90,8.75
5,Suruc,TR,2021-02-06 19:10:24,36.9761,38.425,282.15,49,0,1.54
6,Aykhal,RU,2021-02-06 19:05:44,66.0,111.5,236.72,81,4,2.59
7,Esperance,AU,2021-02-06 19:07:11,-33.8667,121.9,288.15,94,40,6.17
8,Taoudenni,ML,2021-02-06 19:10:25,22.6783,-3.9836,294.14,23,33,5.74
9,Ribeira Grande,PT,2021-02-06 19:10:25,38.5167,-28.7,289.15,88,75,9.26
10,Nikolskoye,RU,2021-02-06 19:10:25,59.7035,30.7861,261.15,79,75,7.0
11,Hermanus,ZA,2021-02-06 19:10:25,-34.4187,19.2345,293.15,88,92,3.79
12,Khatanga,RU,2021-02-06 19:10:25,71.9667,102.5,235.03,78,0,3.08
13,Umea,SE,2021-02-06 19:10:25,63.8284,20.2597,266.15,86,0,4.12
14,Ponta Delgada,PT,2021-02-06 19:10:25,37.7333,-25.6667,289.26,88,75,7.72
15,Lewisporte,CA,2021-02-06 19:10:25,49.2499,-55.0482,274.15,93,90,8.75
16,Dobric,RS,2021-02-06 19:10:25,44.7019,19.5814,283.15,77,100,1.98
17,Dudinka,RU,2021-02-06 19:10:26,69.4058,86.1778,237.84,81,0,4.44
18,Egvekinot,RU,2021-02-06 19:10:26,66.3167,-179.1667,250.76,77,11,3.79
19,Rikitea,PF,2021-02-06 19:10:26,-23.1203,-134.9692,298.55,73,100,5.2
20,Leningradskiy,RU,2021-02-06 19:10:26,69.3833,178.4167,248.09,77,15,2.77
21,Hami,CN,2021-02-06 19:10:26,42.8,93.45,272.61,80,0,2.25
22,Kasongo,CD,2021-02-06 19:10:26,-4.45,26.6667,295.0,94,100,0.99
